sensor_id,timestamp,temperature,humidity,motion,fan,light
test_sensor,2025-02-10 13:34:26,22.5,55,False,OFF,ON
weather_api,2025-02-10 19:46:42,3.4,93,N/A,OFF,OFF
weather_api,2025-02-10 19:46:53,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:47:03,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:47:13,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:47:23,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:47:33,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:47:43,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:47:53,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:48:04,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:48:14,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:48:24,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:48:34,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:48:44,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:48:54,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:49:04,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:49:22,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:49:32,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:49:42,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:49:52,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:50:02,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:50:13,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:50:23,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 19:50:33,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:00:55,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:05,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:15,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:15,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:25,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:25,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:35,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:36,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:46,3.1,93,N/A,OFF,OFF
weather_api,2025-02-10 20:01:46,3.1,93,N/A,OFF,OFF
